timestamp,x,y,z,vx,vy,vz,speed
13.4880,-4.8750,1.3250,0.0750,-0.1014,0.1345,-2.5447,2.5503
13.4880,-4.5750,1.8250,0.0750,-0.0497,0.0970,0.6811,0.6898
13.4880,-4.5250,1.9750,0.0750,-0.0565,-0.1009,0.4530,0.4675
13.4880,0.9250,0.0750,0.0750,0.0460,-0.0930,-2.6515,2.6535
13.4880,0.9250,0.0250,0.0750,0.0775,-0.8412,2.9041,3.0245
13.4880,0.9250,-0.0250,0.0750,0.0844,-0.8797,2.5310,2.6808
13.4880,0.9250,-0.0750,0.0750,0.0634,-0.0458,0.9324,0.9357
13.4880,0.9250,-0.1250,0.0750,0.0397,0.5129,-1.0748,1.1916
13.4880,0.9250,-0.1750,0.0750,0.0319,3.6387,-0.6792,3.7017
13.4880,0.9250,-0.2250,0.0750,0.0148,-0.1253,-2.3184,2.3218
13.4880,0.9250,-0.2750,0.0750,0.0085,0.5061,-2.7311,2.7776
13.4880,0.9250,-0.3250,0.0750,0.0086,0.5333,-3.0962,3.1418
13.4880,0.9250,-0.3750,0.0750,0.0125,2.7712,-3.5568,4.5090
13.4880,0.9250,-0.4250,0.0750,0.0041,0.4751,-4.3279,4.3539
13.4880,0.9250,-0.4750,0.0750,0.0039,0.4901,-4.7526,4.7778
13.4880,0.9250,-0.5250,0.0750,0.0040,0.5054,-5.1944,5.2190
13.4880,0.9250,-0.5750,0.0750,0.0040,0.5213,-5.6559,5.6798
13.4880,0.9250,-0.6250,0.0750,0.0044,0.5375,-6.1396,6.1631
13.4880,0.9250,-0.6750,0.0750,0.0015,0.4254,-6.6339,6.6475
13.4880,0.9250,-0.7250,0.0750,0.0017,0.4324,-7.1724,7.1855
13.4880,0.9250,-0.7750,0.0750,0.0017,0.4397,-7.7443,7.7568
13.4880,0.9250,-0.8750,0.0750,0.0016,0.4473,-8.3544,8.3664
13.4880,0.9250,-0.9250,0.0750,0.0018,0.4549,-9.0088,9.0202
13.4880,0.9250,-1.0250,0.0750,0.0019,0.4635,-9.8045,9.8154
13.4880,0.9250,-1.0750,0.0750,0.0017,0.4712,-10.5198,10.5303
13.4880,0.9250,-1.1750,0.0750,0.0017,0.4793,-11.3475,11.3576
13.4880,-4.9750,1.1750,0.1250,-0.0335,0.0727,-2.0362,2.0377
13.4880,-4.5750,1.8250,0.1750,-0.0604,0.0855,0.8784,0.8846
13.4880,-4.1250,2.6250,0.1750,-0.0356,0.0263,-0.2633,0.2670
13.4880,-3.7750,3.2750,0.2250,-0.0157,-0.0449,-0.7346,0.7362
13.4880,-3.5750,3.6250,0.2250,0.0116,-0.0556,-0.1174,0.1304
13.4880,-3.0250,4.5250,0.2750,0.0302,-0.0153,-0.1132,0.1181
13.4880,-0.9750,4.5750,0.2750,0.0604,0.0140,0.1067,0.1234
13.4880,0.9250,0.6250,0.1250,0.0045,-0.0627,6.2703,6.2706
13.4880,0.9250,0.5750,0.1250,0.0045,-0.0322,5.7793,5.7794
13.4880,0.9250,0.5250,0.1250,0.0046,0.0105,5.0879,5.0879
13.4880,0.9250,0.4750,0.1250,0.0048,0.0508,4.4347,4.4350
13.4880,0.9250,0.4250,0.1250,0.0070,0.0009,3.9264,3.9264
13.4880,0.9250,0.3750,0.1250,0.0069,0.0318,3.5335,3.5336
13.4880,0.9250,0.3250,0.1250,0.0072,0.0619,3.1523,3.1529
13.4880,0.9250,0.2750,0.1250,0.0176,-2.0707,1.9945,2.8751
13.4880,0.9250,0.2250,0.1250,0.0154,-0.0043,1.8335,1.8335
13.4880,0.9250,0.1750,0.1250,0.0193,-0.0129,1.4265,1.4267
13.4880,0.9250,0.1250,0.1250,0.0362,-1.5443,0.0163,1.5448
13.4880,0.9250,0.0750,0.1250,0.0780,-0.8219,2.9886,3.1005
13.4880,0.9250,0.0250,0.1250,0.0787,-0.8480,2.6074,2.7430
13.4880,0.9250,-1.2750,0.0250,0.0073,0.9770,-12.3005,12.3393
13.4880,-4.9750,1.1750,0.1750,-0.0161,0.0990,-2.0359,2.0384
13.4880,-4.5750,1.8250,0.2250,-0.0592,0.0878,0.8154,0.8223
13.4880,-3.8750,3.1250,0.3250,0.0334,-0.0327,-0.6194,0.6211
13.4880,-3.4750,3.8250,0.3750,0.0627,-0.0262,-1.1604,1.1624
13.4880,-3.1250,4.3250,0.4250,-0.0220,-0.0274,-0.0949,0.1012
13.4880,-2.3250,4.5750,0.4250,0.0675,0.0562,-0.0803,0.1190
13.4880,-1.5250,4.5750,0.4750,0.0222,0.0557,0.2228,0.2307
13.4880,-1.3250,4.5750,0.4750,0.0813,0.0461,0.2264,0.2449
13.4880,0.9250,0.8250,0.1750,0.0077,-0.4437,7.6279,7.6407
13.4880,0.9250,0.7750,0.1750,0.0080,-0.3880,7.0664,7.0770
13.4880,0.9250,0.6750,0.1750,0.0081,-0.3360,6.5384,6.5470
13.4880,0.9250,-0.6750,0.0250,0.0122,0.9109,-6.3915,6.4561
13.4880,0.9250,-0.7250,0.0250,0.0124,0.9596,-6.9101,6.9764
13.4880,0.9250,-0.7750,0.0250,0.0126,1.0113,-7.4607,7.5290
13.4880,-4.2250,2.4750,0.3750,-0.0526,0.1005,0.1415,0.1814
13.4880,-3.5750,3.6250,0.5250,0.0681,-0.0297,-0.9174,0.9204
13.4880,-2.8250,4.5750,0.6250,-0.0130,0.0848,-0.1020,0.1333
13.4880,-1.7250,4.5750,0.6250,-0.0345,0.0532,0.2535,0.2613
13.4880,-1.1750,4.5750,0.6250,-0.0022,0.0428,0.1739,0.1791
13.4880,-0.9750,4.5750,0.6250,0.0416,0.0318,0.1670,0.1750
13.4880,-0.0750,4.5750,0.6250,-0.5191,-0.0998,-2.6312,2.6838
13.4880,0.9250,0.8750,0.2250,0.0113,-0.7554,7.8564,7.8926
13.4880,0.9250,0.6250,0.1750,0.0122,-0.4796,5.7641,5.7840
13.4880,0.9250,0.5750,0.1750,0.0124,-0.4199,5.3116,5.3282
13.4880,0.9250,0.5250,0.1750,0.0017,5.3445,5.5430,7.6999
13.4880,0.9250,0.4750,0.1750,0.0108,1.9928,4.4086,4.8381
13.4880,0.9250,-0.4250,0.0250,0.0199,0.9190,-3.8531,3.9612
13.4880,0.9250,-0.4750,0.0250,0.0184,0.9301,-4.2974,4.3969
13.4880,0.9250,-0.5250,0.0250,0.0186,0.9914,-4.6947,4.7983
13.4880,0.9250,-0.5750,0.0250,0.0166,0.9843,-5.2025,5.2948
13.4880,0.9250,-0.6250,0.0250,0.0167,1.0444,-5.6477,5.7435
13.4880,0.9250,-0.9250,-0.0250,0.0178,1.4036,-8.3010,8.4188
13.4880,-8.3750,1.2750,0.2750,0.0253,-0.0990,-1.1508,1.1554
13.4880,-4.9750,1.1250,0.2750,-0.8066,-0.9576,7.9464,8.0444
13.4880,-4.4250,2.1250,0.4250,-0.0100,0.0316,0.7186,0.7194
13.4880,-4.2250,2.4750,0.4750,-0.0636,0.0925,0.3175,0.3367
13.4880,-3.9750,2.9250,0.5250,-0.0117,0.0373,-0.2821,0.2848
13.4880,-0.8250,4.5750,0.7750,-0.0332,0.0289,0.1183,0.1262
13.4880,0.9250,1.0250,0.2750,0.0227,-1.1722,8.8249,8.9025
13.4880,0.9250,0.6750,0.2250,0.0159,-0.7182,5.9477,5.9909
13.4880,0.9250,0.4250,0.1750,0.0185,-0.3680,3.4026,3.4225
13.4880,0.9250,0.3750,0.1750,0.0208,-0.3467,2.9580,2.9783
13.4880,0.9250,0.3250,0.1750,0.0221,-0.3173,2.5392,2.5590
13.4880,0.9250,-0.3750,0.0250,0.0207,-0.8455,-3.6366,3.7336
13.4880,0.9250,-0.6750,-0.0250,0.0231,1.3559,-5.7395,5.8975
13.4880,0.9250,-0.7250,-0.0250,0.0214,1.3641,-6.3215,6.4670
13.4880,0.9250,-0.7750,-0.0250,0.0217,1.4531,-6.8231,6.9761
13.4880,0.9250,-0.9750,-0.0750,0.0189,1.7790,-8.6267,8.8083
13.4880,0.9250,-1.0750,-0.0750,0.0192,1.8927,-9.2552,9.4468
13.4880,-8.3750,1.5750,0.3750,0.0118,-2.0254,9.4426,9.6574
13.4880,-4.7750,1.4750,0.3750,-1.2318,-1.6416,10.0172,10.2253
13.4880,-4.4250,2.1250,0.4750,0.0029,0.0521,0.6657,0.6677
13.4880,-3.9750,2.9250,0.6250,-0.0174,0.0310,-0.2253,0.2280
13.4880,-3.6750,3.4250,0.7250,0.0233,0.0281,-0.5924,0.5935
13.4880,-3.3750,3.9750,0.8250,0.0484,0.0272,0.1301,0.1415
13.4880,0.9250,1.0750,0.3250,0.0202,-1.4947,9.0458,9.1685
13.4880,0.9250,0.8750,0.2750,0.0182,-1.1450,7.1358,7.2271
13.4880,0.9250,0.8250,0.2750,0.0189,-1.0462,6.6117,6.6939
13.4880,0.9250,0.6250,0.2250,0.0193,-0.7832,5.2247,5.2831
13.4880,0.9250,0.5750,0.2250,0.0199,-0.7037,4.8118,4.8630
13.4880,0.9250,0.5250,0.2250,0.0219,-0.6790,4.2861,4.3396
13.4880,0.9250,0.2750,0.1750,0.0350,-1.0409,1.3134,1.6762
13.4880,0.9250,-0.2750,0.0250,0.0375,4.0503,-1.1052,4.1986
13.4880,0.9250,-0.3250,0.0250,0.0263,-1.1233,-3.2685,3.4563
13.4880,0.9250,-0.5750,-0.0250,0.0266,1.3045,-4.6762,4.8549
13.4880,0.9250,-0.6250,-0.0250,0.0244,1.3393,-5.1649,5.3358
13.4880,0.9250,-0.8250,-0.0750,0.0260,1.7472,-7.0266,7.2406
13.4880,0.9250,-1.3250,-0.1750,0.0269,2.6685,-11.0822,11.3990
13.4880,-8.3750,1.2750,0.3250,0.0237,0.2167,-1.2037,1.2233
13.4880,-4.4250,2.1250,0.5250,0.0183,0.0786,0.6843,0.6890
13.4880,-4.1750,2.5750,0.6250,-0.0883,-0.0382,0.2011,0.2229
13.4880,-3.6750,3.4250,0.8250,0.0187,0.0222,-0.5504,0.5512
13.4880,-2.4250,4.5750,1.0750,-0.0466,0.0747,-0.1925,0.2117
13.4880,-1.1750,4.5750,1.1250,0.0136,0.0502,0.2821,0.2869
13.4880,-0.4750,4.5750,1.1250,0.0319,0.0226,0.1610,0.1657
13.4880,-0.2750,4.5750,1.1250,0.0555,0.0046,0.1479,0.1580
13.4880,0.9250,0.9250,0.3250,0.0224,-1.4128,7.3811,7.5151
13.4880,0.9250,0.7250,0.2750,0.0215,-1.0847,5.8199,5.9202
13.4880,0.9250,0.6750,0.2750,0.0245,-1.0396,5.2233,5.3258
13.4880,0.9250,0.4750,0.2250,0.0198,2.2514,4.3763,4.9214
13.4880,0.9250,-0.2250,0.0250,0.0437,0.7899,-1.6731,1.8507
13.4880,0.9250,-0.4750,-0.0250,0.0311,1.2427,-3.7135,3.9160
13.4880,0.9250,-0.5250,-0.0250,0.0297,1.3044,-4.1150,4.3169
13.4880,0.9250,-0.7250,-0.0750,0.0285,1.6738,-5.7680,6.0060
13.4880,0.9250,-0.7750,-0.0750,0.0289,1.7929,-6.2214,6.4747
13.4880,0.9250,-0.8750,-0.1250,0.0297,2.0593,-7.2232,7.5110
13.4880,0.9250,-0.9750,-0.1250,0.0240,2.2341,-7.8482,8.1600
13.4880,0.9250,-1.1250,-0.1750,0.0246,2.5696,-9.0701,9.4271
13.4880,-5.0250,1.1250,0.3250,-0.0762,-0.1683,-1.6216,1.6321
