timestamp,x,y,z,vx,vy,vz,speed
5.8320,-0.3750,4.5750,0.0750,-0.0633,-0.0030,0.2240,0.2328
5.8320,0.9250,-0.7750,0.0750,-0.0094,-0.0082,-0.2369,0.2372
5.8320,-0.1250,-4.4250,0.0750,0.0612,-0.0058,0.3094,0.3154
5.8320,-0.6250,-4.4250,0.0750,0.0614,-0.0056,-0.2635,0.2706
5.8320,0.9250,2.6250,0.1750,0.0775,0.3109,-0.0044,0.3204
5.8320,0.9250,1.4750,0.1250,-0.0068,-0.0520,-0.3455,0.3495
5.8320,0.9250,1.2250,0.1250,-0.0066,-0.0415,-0.3046,0.3074
5.8320,0.9250,1.1250,0.1250,-0.0064,-0.0371,-0.2848,0.2873
5.8320,0.9250,1.0750,0.1250,-0.0064,-0.0337,-0.2695,0.2717
5.8320,0.9250,-2.4750,0.0250,-0.0583,-0.1161,0.1620,0.2076
5.8320,0.9250,-2.7750,0.0250,-0.0583,-0.1474,0.2891,0.3297
5.8320,0.9250,2.3250,0.1750,0.0763,0.2568,0.1034,0.2871
5.8320,0.9250,1.5750,0.1750,0.0113,0.0182,0.3250,0.3257
5.8320,0.9250,1.3750,0.1750,0.0004,-0.0359,-0.2565,0.2590
5.8320,0.9250,2.3250,0.2250,0.0111,0.0424,0.4016,0.4039
5.8320,0.9250,1.5750,0.2250,0.0148,0.0586,0.2029,0.2117
5.8320,0.9250,-2.2250,-0.0250,0.0592,0.2737,0.2586,0.3811
5.8320,0.9250,-2.4750,-0.0250,0.0626,0.2698,-0.1683,0.3240
5.8320,-0.7250,4.5750,0.3750,-0.2383,0.0109,0.0323,0.2407
5.8320,-0.3750,4.5750,0.3750,-0.2313,0.0105,0.3534,0.4225
5.8320,0.3250,4.5750,0.4250,-0.2034,-0.0050,-0.0603,0.2122
5.8320,0.4750,4.5750,0.4250,-0.2051,-0.0054,0.0611,0.2141
5.8320,0.6750,4.5750,0.4250,-0.2065,-0.0059,0.1833,0.2762
5.8320,-0.0250,4.5750,0.4250,-0.2276,0.0021,0.1218,0.2582
5.8320,0.9250,-1.6750,0.1250,-0.0676,0.1120,-0.1952,0.2350
5.8320,0.9250,2.3750,0.2750,0.0096,-0.0033,-0.2890,0.2892
5.8320,0.9250,-1.2750,0.1750,-0.0139,0.0186,-0.2627,0.2638
5.8320,0.9250,-1.8250,0.2250,-0.0032,-0.0169,0.2694,0.2700
5.8320,0.3750,-4.4250,0.1250,-0.0095,-0.0028,-0.2502,0.2504
5.8320,-1.3250,-4.4250,-0.0250,0.1455,-0.0197,0.2550,0.2943
5.8320,0.6750,4.5750,0.0250,-0.1159,0.0061,-0.3071,0.3283
5.8320,-0.6250,-4.4250,0.1750,0.0416,0.0064,0.2661,0.2694
5.8320,0.9250,1.3250,0.1250,0.0592,0.0441,-0.2156,0.2279
5.8320,0.7250,-4.4250,0.4250,0.2315,-0.0092,0.0054,0.2318
5.8320,-1.3250,-4.4250,0.1750,-0.0351,-0.0219,0.2356,0.2392
5.8320,0.9250,1.0250,0.1250,0.0110,0.0076,0.2671,0.2674
5.8320,0.9250,2.0750,0.0250,-0.0656,0.1192,-0.1855,0.2300
5.8320,0.9250,1.8750,0.0250,-0.0125,-0.0246,-0.3839,0.3849
5.8320,-0.6250,-4.4250,0.3750,0.1989,0.0135,-0.3141,0.3720
5.8320,-0.9750,-4.4250,0.3750,0.2075,0.0146,0.0008,0.2080
5.8320,0.9250,1.0250,0.0250,-0.0128,0.0061,-0.2174,0.2178
5.8320,-1.3250,-4.4250,0.4250,0.1933,0.0206,-0.1947,0.2751
5.8320,0.9250,1.7250,-0.0250,-0.0128,0.0312,-0.2404,0.2428
5.8320,0.9250,0.8750,0.0250,-0.0129,0.0027,-0.2123,0.2127
5.8320,0.9250,-3.1750,0.3750,-0.0136,0.2264,-0.0947,0.2458
5.8320,-0.4250,-4.4250,0.4750,0.0503,0.0045,-0.2173,0.2230
5.8320,-2.0750,-4.4250,0.4750,0.0131,0.0102,-0.3915,0.3919
5.8320,0.8750,-1.9750,0.2250,-0.0140,0.0462,-0.3072,0.3109
5.8320,0.2250,-4.4250,0.4250,0.2059,-0.0022,-0.0367,0.2091
5.8320,-0.2750,-4.4250,0.4250,0.2037,-0.0012,0.3166,0.3764
5.8320,-1.8750,-4.4250,0.4250,0.2130,0.0223,0.2487,0.3281
5.8320,-4.7750,1.5750,0.1750,0.0033,-0.0228,-0.2226,0.2238
5.8320,0.8750,-1.3750,0.1250,-0.0099,-0.0203,-0.3279,0.3287
5.8320,-0.2750,-4.4250,0.3250,0.1988,0.0059,-0.1107,0.2276
5.8320,-1.0750,4.5750,-0.0250,-0.1717,-0.0215,-0.3031,0.3490
5.8320,0.9250,2.6250,-0.0250,-0.0646,0.1918,0.0073,0.2025
5.8320,0.9250,1.9250,0.0250,0.0010,0.0343,-0.2083,0.2111
5.8320,-1.1250,-4.4250,0.2250,0.0905,0.0161,0.2066,0.2261
5.8320,0.1250,4.5750,0.1250,0.0100,-0.0067,-0.2853,0.2856
5.8320,-3.4250,3.8750,0.3750,0.0507,0.1039,-0.2653,0.2894
5.8320,-3.3250,4.0750,0.4250,-0.0917,-0.1929,-0.0996,0.2357
5.8320,0.9250,-1.6750,-0.0250,0.0414,0.1570,0.1259,0.2054
5.8320,-4.1250,2.6750,0.2750,0.0166,0.0271,-0.2500,0.2521
5.8320,0.9250,2.0750,0.2750,0.0150,0.0977,0.2087,0.2309
5.8320,0.9250,-0.7250,0.0750,0.0109,-0.0140,0.2341,0.2348
5.8320,0.9250,-1.3750,0.0250,0.0102,-0.0129,0.2878,0.2883
5.8320,0.9250,-1.4750,0.0250,0.0100,-0.0117,0.3008,0.3012
5.8320,-2.2750,4.5750,0.2250,0.1131,-0.0254,0.2255,0.2535
5.8320,0.5750,-4.4250,-0.0250,0.1692,0.0110,-0.1959,0.2591
5.8320,0.9250,-1.9750,0.2250,-0.0032,-0.0221,0.3016,0.3024
5.8320,-1.8750,-4.4250,0.1250,0.0050,-0.0291,0.3197,0.3211
5.8320,-0.1750,1.9750,-0.0750,-0.0062,-0.4115,0.0007,0.4116
5.8320,0.5250,1.9250,-0.0750,0.0661,0.3829,0.0009,0.3886
5.8320,0.9250,-3.1250,0.3250,-0.0153,0.1256,-0.3947,0.4145
5.8320,0.5750,-4.4250,0.4250,0.2074,-0.0028,-0.2739,0.3436
5.8320,0.9250,-1.4750,0.1250,-0.0100,-0.0232,-0.3482,0.3491
5.8320,-7.0250,-4.4750,0.7250,0.1827,0.0389,0.2256,0.2929
5.8320,-0.7750,-4.4250,0.2250,0.0859,0.0156,-0.1860,0.2055
5.8320,-2.5250,-4.4250,0.3250,0.1738,0.0352,0.2838,0.3346
5.8320,-4.0250,2.8750,0.4750,-0.0213,-0.0483,-0.4018,0.4053
5.8320,-2.5250,-4.4250,0.1250,0.0008,-0.0289,-0.2993,0.3007
5.8320,-3.2250,-4.4250,0.0750,0.0428,-0.0338,-0.2547,0.2605
5.8320,-1.4250,4.5750,0.4750,-0.0626,0.0061,0.2289,0.2374
5.8320,0.8750,1.7250,0.1750,0.0110,0.0215,0.3358,0.3366
5.8320,-1.4750,4.5750,0.4750,-0.0723,0.0014,-0.2595,0.2694
5.8320,-3.7250,3.3750,0.3750,0.0460,0.0978,0.1735,0.2044
5.8320,-2.4750,4.5250,0.0750,-0.0505,-0.0378,-0.2518,0.2596
5.8320,-1.2750,4.5750,-0.0250,-0.1744,-0.0214,-0.1020,0.2031
5.8320,-4.9250,1.2250,-0.0250,-0.0141,-0.0588,0.1943,0.2035
5.8320,-8.3750,-1.1250,0.4750,0.0051,-0.0263,0.2412,0.2427
5.8320,-4.6750,1.7250,0.1250,-0.0067,-0.0270,0.2523,0.2538
5.8320,-4.0250,2.8750,0.0250,-0.0488,-0.0653,0.1884,0.2053
5.8320,-3.4750,-4.4750,0.5750,0.0355,0.0113,-0.2031,0.2065
5.8320,-4.3750,2.2250,0.2750,0.0154,0.0279,0.2669,0.2688
5.8320,-3.7250,3.3750,0.1750,-0.0019,0.0270,0.2442,0.2457
5.8320,-2.9250,4.5250,0.0750,-0.0515,-0.0374,0.2005,0.2104
5.8320,-4.0750,-4.4750,0.4750,0.2048,0.0454,0.1453,0.2551
5.8320,-3.4250,3.8750,0.5250,-0.0306,-0.0639,-0.1942,0.2067
5.8320,0.3750,-1.9250,-0.0750,0.0229,-0.2156,0.0009,0.2169
5.8320,-0.7750,-1.7750,-0.0750,-0.0932,-0.2937,-0.0008,0.3082
5.8320,-3.5250,3.6750,-0.0250,-0.0827,-0.1039,-0.1746,0.2194
5.8320,-0.5750,4.5750,0.1250,-0.0071,-0.0123,-0.2251,0.2256
5.8320,-1.7250,0.8750,-0.0750,0.2854,-0.1619,0.0003,0.3282
5.8320,-1.4750,1.3250,-0.0750,-0.2897,0.1915,0.0063,0.3474
5.8320,-8.3750,1.0750,-0.0250,-0.0112,-0.0477,0.2027,0.2085
5.8320,-0.4750,1.9250,-0.0750,-0.1130,0.3033,0.0009,0.3237
5.8320,-5.1250,-4.4250,0.5750,0.1935,0.0446,0.0737,0.2118
5.8320,-1.9250,-0.6750,-0.0750,0.1978,0.0464,-0.0028,0.2032
5.8320,-1.9250,-0.1250,-0.0750,0.2225,0.0069,0.0022,0.2226
5.8320,-2.0250,0.3250,-0.0750,0.3299,-0.0808,0.0070,0.3397
